kn_ks	region	pop	species
0.220673775856053	WGS	YRI	H. sapiens
0.213093253432539	WGS	YRI	H. sapiens
0.217283690968578	WGS	YRI	H. sapiens
0.21615914412197	WGS	YRI	H. sapiens
0.220155870364989	WGS	YRI	H. sapiens
0.218492637946187	WGS	YRI	H. sapiens
0.218894803155723	WGS	YRI	H. sapiens
0.217408890612313	WGS	YRI	H. sapiens
0.216379057416415	WGS	YRI	H. sapiens
0.219808853939681	WGS	YRI	H. sapiens
0.214412102727535	WGS	YRI	H. sapiens
0.218357101767901	WGS	YRI	H. sapiens
0.219196689289528	WGS	YRI	H. sapiens
0.217916616877191	WGS	YRI	H. sapiens
0.217974815021635	WGS	YRI	H. sapiens
0.216168413689645	WGS	YRI	H. sapiens
0.215840770841252	WGS	YRI	H. sapiens
0.216571724427171	WGS	YRI	H. sapiens
0.216948087546978	WGS	YRI	H. sapiens
0.217156345131774	WGS	YRI	H. sapiens
0.214549276466862	WGS	YRI	H. sapiens
0.219018935816759	WGS	YRI	H. sapiens
0.213966254453669	WGS	YRI	H. sapiens
0.215818456811881	WGS	YRI	H. sapiens
0.218184982569577	WGS	YRI	H. sapiens
0.213265972820214	WGS	YRI	H. sapiens
0.219247904923456	WGS	YRI	H. sapiens
0.217505262493937	WGS	YRI	H. sapiens
0.219286477434697	WGS	YRI	H. sapiens
0.220663490724148	WGS	YRI	H. sapiens
0.21246274943306	WGS	YRI	H. sapiens
0.214353264954238	WGS	YRI	H. sapiens
0.21523420218296	WGS	YRI	H. sapiens
0.218079155029738	WGS	YRI	H. sapiens
0.216385503417986	WGS	YRI	H. sapiens
0.216120763571673	WGS	YRI	H. sapiens
0.218286703593957	WGS	YRI	H. sapiens
0.213717585409818	WGS	YRI	H. sapiens
0.219686805543939	WGS	YRI	H. sapiens
0.217290819363157	WGS	YRI	H. sapiens
0.215560970659884	WGS	YRI	H. sapiens
0.217153771615353	WGS	YRI	H. sapiens
0.217606742816677	WGS	YRI	H. sapiens
0.216251652864401	WGS	YRI	H. sapiens
0.212222092180247	WGS	YRI	H. sapiens
0.217517988090766	WGS	YRI	H. sapiens
0.216636356866834	WGS	YRI	H. sapiens
0.21800879722347	WGS	YRI	H. sapiens
0.213883970322029	WGS	YRI	H. sapiens
0.220167096578138	WGS	YRI	H. sapiens
0.216362138457557	WGS	YRI	H. sapiens
0.219963945730913	WGS	YRI	H. sapiens
0.215925038512632	WGS	YRI	H. sapiens
0.214838707760975	WGS	YRI	H. sapiens
0.215974912835194	WGS	YRI	H. sapiens
0.217276734238345	WGS	YRI	H. sapiens
0.217963506475392	WGS	YRI	H. sapiens
0.215541931278822	WGS	YRI	H. sapiens
0.220144755142097	WGS	YRI	H. sapiens
0.222542716050252	WGS	YRI	H. sapiens
0.219255144893508	WGS	YRI	H. sapiens
0.218072898781377	WGS	YRI	H. sapiens
0.217373936433584	WGS	YRI	H. sapiens
0.215872443068931	WGS	YRI	H. sapiens
0.217462950799832	WGS	YRI	H. sapiens
0.21488855177079	WGS	YRI	H. sapiens
0.219011686280703	WGS	YRI	H. sapiens
0.21592708382911	WGS	YRI	H. sapiens
0.215558505929574	WGS	YRI	H. sapiens
0.219569937727008	WGS	YRI	H. sapiens
0.215101696641768	WGS	YRI	H. sapiens
0.217510132487182	WGS	YRI	H. sapiens
0.217645849390115	WGS	YRI	H. sapiens
0.216670045284348	WGS	YRI	H. sapiens
0.22207565432096	WGS	YRI	H. sapiens
0.220266724780607	WGS	YRI	H. sapiens
0.223972115531454	WGS	YRI	H. sapiens
0.215626319747828	WGS	YRI	H. sapiens
0.219809065314804	WGS	YRI	H. sapiens
0.220526080649749	WGS	YRI	H. sapiens
0.22005229407375	WGS	YRI	H. sapiens
0.210318026983644	WGS	YRI	H. sapiens
0.218528799731909	WGS	YRI	H. sapiens
0.221213855277883	WGS	YRI	H. sapiens
0.215878351357221	WGS	YRI	H. sapiens
0.218675165338595	WGS	YRI	H. sapiens
0.221092785995588	WGS	YRI	H. sapiens
0.217772957307753	WGS	YRI	H. sapiens
0.217775145095712	WGS	YRI	H. sapiens
0.216092563446791	WGS	YRI	H. sapiens
0.216365491667241	WGS	YRI	H. sapiens
0.219847856839593	WGS	YRI	H. sapiens
0.213106454507992	WGS	YRI	H. sapiens
0.219004379463179	WGS	YRI	H. sapiens
0.218429146436475	WGS	YRI	H. sapiens
0.218205350074266	WGS	YRI	H. sapiens
0.219051140479559	WGS	YRI	H. sapiens
0.213899379957949	WGS	YRI	H. sapiens
0.213672243388707	WGS	YRI	H. sapiens
0.220082169415037	WGS	YRI	H. sapiens
0.215323424442156	WGS	YRI	H. sapiens
0.220064353218242	WGS	YRI	H. sapiens
0.219938003879899	WGS	YRI	H. sapiens
0.214386313904552	WGS	YRI	H. sapiens
0.209678332194916	WGS	YRI	H. sapiens
0.21350387275705	WGS	YRI	H. sapiens
0.21628982578323	WGS	YRI	H. sapiens
0.218130817924589	WGS	YRI	H. sapiens
0.218655011995863	WGS	YRI	H. sapiens
0.214801623951167	WGS	YRI	H. sapiens
0.212912482553128	WGS	YRI	H. sapiens
0.21733491292206	WGS	YRI	H. sapiens
0.22114786164666	WGS	YRI	H. sapiens
0.213702418312508	WGS	YRI	H. sapiens
0.215301603977343	WGS	YRI	H. sapiens
0.216284913990125	WGS	YRI	H. sapiens
0.211780660721572	WGS	YRI	H. sapiens
0.216592681735482	WGS	YRI	H. sapiens
0.217514810103615	WGS	YRI	H. sapiens
0.218572342625808	WGS	YRI	H. sapiens
0.214642460786245	WGS	YRI	H. sapiens
0.220064698208399	WGS	YRI	H. sapiens
0.217709649092788	WGS	YRI	H. sapiens
0.218161574720411	WGS	YRI	H. sapiens
0.216346307899069	WGS	YRI	H. sapiens
0.219665016867513	WGS	YRI	H. sapiens
0.217669140339698	WGS	YRI	H. sapiens
0.219231532853866	WGS	YRI	H. sapiens
0.216727167552857	WGS	YRI	H. sapiens
0.215291123081498	WGS	YRI	H. sapiens
0.213590558543549	WGS	YRI	H. sapiens
0.222588504998911	WGS	YRI	H. sapiens
0.21296364704561	WGS	YRI	H. sapiens
0.212843668978501	WGS	YRI	H. sapiens
0.21362183406938	WGS	YRI	H. sapiens
0.216635541036993	WGS	YRI	H. sapiens
0.214146199876664	WGS	YRI	H. sapiens
0.219307300973792	WGS	YRI	H. sapiens
0.218014827161744	WGS	YRI	H. sapiens
0.220281900013449	WGS	YRI	H. sapiens
0.219717090056634	WGS	YRI	H. sapiens
0.21605515253093	WGS	YRI	H. sapiens
0.218260529601113	WGS	YRI	H. sapiens
0.208613837703214	WGS	YRI	H. sapiens
0.219177951057836	WGS	YRI	H. sapiens
0.218643923354564	WGS	YRI	H. sapiens
0.214298513360067	WGS	YRI	H. sapiens
0.218958221960562	WGS	YRI	H. sapiens
0.213076019710501	WGS	YRI	H. sapiens
0.218568381821837	WGS	YRI	H. sapiens
0.216051116344076	WGS	YRI	H. sapiens
0.219616587593236	WGS	YRI	H. sapiens
0.218526714990002	WGS	YRI	H. sapiens
0.2161869893968	WGS	YRI	H. sapiens
0.216431636553516	WGS	YRI	H. sapiens
0.220130851651132	WGS	YRI	H. sapiens
0.214048315536448	WGS	YRI	H. sapiens
0.21565126926335	WGS	YRI	H. sapiens
0.219394268456527	WGS	YRI	H. sapiens
0.221148715046122	WGS	YRI	H. sapiens
0.220079837594323	WGS	YRI	H. sapiens
0.219105672114841	WGS	YRI	H. sapiens
0.213055213138517	WGS	YRI	H. sapiens
0.217365876015462	WGS	YRI	H. sapiens
0.216111877043777	WGS	YRI	H. sapiens
0.216936330406473	WGS	YRI	H. sapiens
0.215982475821135	WGS	YRI	H. sapiens
0.215136138238401	WGS	YRI	H. sapiens
0.218756925807902	WGS	YRI	H. sapiens
0.218925332625622	WGS	YRI	H. sapiens
0.222548575942905	WGS	YRI	H. sapiens
0.217425285582547	WGS	YRI	H. sapiens
0.219057805733351	WGS	YRI	H. sapiens
0.221195502580189	WGS	YRI	H. sapiens
0.217373106922264	WGS	YRI	H. sapiens
0.217147556805219	WGS	YRI	H. sapiens
0.212901250771045	WGS	YRI	H. sapiens
0.216616545191391	WGS	YRI	H. sapiens
0.212450059864385	WGS	YRI	H. sapiens
0.217105185896345	WGS	YRI	H. sapiens
0.221773873876131	WGS	YRI	H. sapiens
0.215016525093142	WGS	YRI	H. sapiens
0.217596648158937	WGS	YRI	H. sapiens
0.215513132867818	WGS	YRI	H. sapiens
0.217904893136572	WGS	YRI	H. sapiens
0.215818610446896	WGS	YRI	H. sapiens
0.214458379512926	WGS	YRI	H. sapiens
0.215973738831182	WGS	YRI	H. sapiens
0.21317713167552	WGS	YRI	H. sapiens
0.218353706055812	WGS	YRI	H. sapiens
0.21725194042385	WGS	YRI	H. sapiens
0.218449893901456	WGS	YRI	H. sapiens
0.214750863432381	WGS	YRI	H. sapiens
0.216683020634353	WGS	YRI	H. sapiens
0.214631924141588	WGS	YRI	H. sapiens
0.217389681938031	WGS	YRI	H. sapiens
0.215328634659697	WGS	YRI	H. sapiens
0.221092132869055	WGS	YRI	H. sapiens
0.217088202560752	WGS	YRI	H. sapiens
0.212948145029153	WGS	YRI	H. sapiens
0.215561353386566	WGS	YRI	H. sapiens
0.220014762384873	WGS	YRI	H. sapiens
0.212789983013842	WGS	YRI	H. sapiens
0.216881285028899	WGS	YRI	H. sapiens
0.220139121202278	WGS	YRI	H. sapiens
0.220385021823372	WGS	YRI	H. sapiens
0.214385668663822	WGS	YRI	H. sapiens
0.21281061490475	WGS	YRI	H. sapiens
0.220373324112846	WGS	YRI	H. sapiens
0.2203755105996	WGS	YRI	H. sapiens
0.217438016003266	WGS	YRI	H. sapiens
0.219232985514504	WGS	YRI	H. sapiens
0.213807231724615	WGS	YRI	H. sapiens
0.216915035233627	WGS	YRI	H. sapiens
0.21583122439054	WGS	YRI	H. sapiens
0.216525031034603	WGS	YRI	H. sapiens
0.215231823657467	WGS	YRI	H. sapiens
0.219234366243199	WGS	YRI	H. sapiens
0.216474534552748	WGS	YRI	H. sapiens
0.21669793770383	WGS	YRI	H. sapiens
0.220065583116736	WGS	YRI	H. sapiens
0.217581699826596	WGS	YRI	H. sapiens
0.217680978081555	WGS	YRI	H. sapiens
0.214912155133422	WGS	YRI	H. sapiens
0.215540899816822	WGS	YRI	H. sapiens
0.211522869994024	WGS	YRI	H. sapiens
0.218684064757637	WGS	YRI	H. sapiens
0.214863139984546	WGS	YRI	H. sapiens
0.222272207580642	WGS	YRI	H. sapiens
0.217471221831981	WGS	YRI	H. sapiens
0.214689449281733	WGS	YRI	H. sapiens
0.215913674746882	WGS	YRI	H. sapiens
0.217651374526321	WGS	YRI	H. sapiens
0.213001035912358	WGS	YRI	H. sapiens
0.218417728742574	WGS	YRI	H. sapiens
0.217895819202748	WGS	YRI	H. sapiens
0.217687473117208	WGS	YRI	H. sapiens
0.222344720304501	WGS	YRI	H. sapiens
0.214263343070175	WGS	YRI	H. sapiens
0.21024890770863	WGS	YRI	H. sapiens
0.213291874684448	WGS	YRI	H. sapiens
0.215320855179966	WGS	YRI	H. sapiens
0.215704225396499	WGS	YRI	H. sapiens
0.222591788100865	WGS	YRI	H. sapiens
0.214106319768851	WGS	YRI	H. sapiens
0.217231189345347	WGS	YRI	H. sapiens
0.21807274450334	WGS	YRI	H. sapiens
0.220062224951233	WGS	YRI	H. sapiens
0.212192966908518	WGS	YRI	H. sapiens
