pin_pis	region	pop	species
0.287021824577092	WGS	YRI	H. sapiens
0.267127318653294	WGS	YRI	H. sapiens
0.269748093310677	WGS	YRI	H. sapiens
0.322855979391123	WGS	YRI	H. sapiens
0.333358399249107	WGS	YRI	H. sapiens
0.313349708944487	WGS	YRI	H. sapiens
0.290918578884213	WGS	YRI	H. sapiens
0.311447917235162	WGS	YRI	H. sapiens
0.275069070465899	WGS	YRI	H. sapiens
0.300894868516639	WGS	YRI	H. sapiens
0.301372085044837	WGS	YRI	H. sapiens
0.272418318954464	WGS	YRI	H. sapiens
0.284967167422091	WGS	YRI	H. sapiens
0.2634788203954	WGS	YRI	H. sapiens
0.314875977209694	WGS	YRI	H. sapiens
0.277656714389207	WGS	YRI	H. sapiens
0.275367263756826	WGS	YRI	H. sapiens
0.240553589805627	WGS	YRI	H. sapiens
0.266600169255289	WGS	YRI	H. sapiens
0.320010451648896	WGS	YRI	H. sapiens
0.320978549177659	WGS	YRI	H. sapiens
0.327440287191433	WGS	YRI	H. sapiens
0.360385061600397	WGS	YRI	H. sapiens
0.270214140360568	WGS	YRI	H. sapiens
0.312772385676268	WGS	YRI	H. sapiens
0.304373876245058	WGS	YRI	H. sapiens
0.292160684069895	WGS	YRI	H. sapiens
0.28069068572916	WGS	YRI	H. sapiens
0.250504301546625	WGS	YRI	H. sapiens
0.351418156207944	WGS	YRI	H. sapiens
0.297987117198011	WGS	YRI	H. sapiens
0.302187771486415	WGS	YRI	H. sapiens
0.267796605400523	WGS	YRI	H. sapiens
0.28225950814677	WGS	YRI	H. sapiens
0.302909011228254	WGS	YRI	H. sapiens
0.277965442554947	WGS	YRI	H. sapiens
0.278259358604992	WGS	YRI	H. sapiens
0.256294271306901	WGS	YRI	H. sapiens
0.300969738080062	WGS	YRI	H. sapiens
0.281476251962442	WGS	YRI	H. sapiens
0.281677809660171	WGS	YRI	H. sapiens
0.313596150369371	WGS	YRI	H. sapiens
0.301505984547878	WGS	YRI	H. sapiens
0.275874105979275	WGS	YRI	H. sapiens
0.264624266139653	WGS	YRI	H. sapiens
0.294367955252215	WGS	YRI	H. sapiens
0.252832583463473	WGS	YRI	H. sapiens
0.294939684501514	WGS	YRI	H. sapiens
0.280835949825698	WGS	YRI	H. sapiens
0.307565511233963	WGS	YRI	H. sapiens
0.255116857198972	WGS	YRI	H. sapiens
0.266785258898141	WGS	YRI	H. sapiens
0.295729989134452	WGS	YRI	H. sapiens
0.272169080452178	WGS	YRI	H. sapiens
0.246466836246795	WGS	YRI	H. sapiens
0.267085933482434	WGS	YRI	H. sapiens
0.319970756932406	WGS	YRI	H. sapiens
0.319190872240257	WGS	YRI	H. sapiens
0.294728717476139	WGS	YRI	H. sapiens
0.284599358840972	WGS	YRI	H. sapiens
0.267550770788175	WGS	YRI	H. sapiens
0.238699549764865	WGS	YRI	H. sapiens
0.287870125398762	WGS	YRI	H. sapiens
0.285382126822264	WGS	YRI	H. sapiens
0.268112269565215	WGS	YRI	H. sapiens
0.278646107039104	WGS	YRI	H. sapiens
0.286350901504013	WGS	YRI	H. sapiens
0.267476960015514	WGS	YRI	H. sapiens
0.305877205519725	WGS	YRI	H. sapiens
0.299864288926537	WGS	YRI	H. sapiens
0.251323802608091	WGS	YRI	H. sapiens
0.335115276246076	WGS	YRI	H. sapiens
0.316761753397639	WGS	YRI	H. sapiens
0.296900827121008	WGS	YRI	H. sapiens
0.289696474850812	WGS	YRI	H. sapiens
0.273651003649877	WGS	YRI	H. sapiens
0.286542194196723	WGS	YRI	H. sapiens
0.267365419276202	WGS	YRI	H. sapiens
0.311753480380268	WGS	YRI	H. sapiens
0.335376569170355	WGS	YRI	H. sapiens
0.254835636622859	WGS	YRI	H. sapiens
0.272807357496522	WGS	YRI	H. sapiens
0.28087942321111	WGS	YRI	H. sapiens
0.272726404373913	WGS	YRI	H. sapiens
0.305715377951881	WGS	YRI	H. sapiens
0.352664097819485	WGS	YRI	H. sapiens
